,Accuracy,Precision,Recall,F1-Score,ROC-AUC,CV ROC-AUC (mean),CV ROC-AUC (std)
Random Forest,0.7115,0.33385826771653543,0.5792349726775956,0.42357642357642356,0.7124709887566801,0.6913093320033111,0.012118834538579057
Gradient Boosting,0.823,0.5857142857142857,0.11202185792349727,0.18807339449541285,0.7088416571355954,0.697823742463135,0.017715673311220495
Logistic Regression,0.633,0.27450980392156865,0.6120218579234973,0.3790186125211506,0.6791958451217637,0.6846390269251156,0.017577628527240985
Decision Tree,0.6715,0.27987897125567324,0.505464480874317,0.3602726387536514,0.6663121776992997,0.6491663424302326,0.009002105653537882
